Election year	Election	Area/constituency	Barbara Castle	Jennette Arnold	Jennie Lee	Elaine Kellett-Bowman	Winnie Ewing	Irene Ward	Christine Crawley	Anne McIntosh	Janey Buchan	Ann Clwyd	Shirley Williams	Joyce Quin	Gwyneth Dunwoody	Margaret Beckett	Harriet Harman	Carole Tongue	Susan Kramer	Caroline Jackson	Betty Boothroyd	Sian Berry	Diane Abbott	Judith Hart	Beata Brookes	Jill Knight	Val Shawcross	Margaret Thatcher	Caroline Pidgeon	Jo Richardson	Pauline Green	Diana Newcombe	Virginia Bottomley	Shelagh Roberts	Shirley Summerskill	Ann Taylor	Edith Summerskill	Tessa Jowell	Ann Winterton	Sally Oppenheim	Jenny Jones	Angela Bray	Joanne McCartney	Tracey Brabin	Dorothy Thornhill (Mayor of Watford)	Meg Hillier	Margaret Daly 	Christine Oddy
			LAB	LAB	LAB	CON	SNP	CON	LAB	CON	LAB	LAB	LD	LAB	LAB	LAB	LAB	LAB	LD	CON	CON	GREEN	LAB	LAB	CON	CON	LAB	CON	LD	LAB	LAB	CON	CON	CON	LAB	LAB	LAB	CON	CON	GREEN	CON	LAB	LAB	LD	LAB	CON	LAB	-
2019	General Election	Hackney North and Stoke Newington																					39972
2019	General Election	Camberwell and Peckham															40258																															
2019	General Election	Batley and Spen																																										22594				
2019	General Election	Derby South														21690																																
2017	General Election	Cynon Valley										19404																																				
2017	General Election	Hackney North and Stoke Newington																					42265																									
2017	General Election	Holborn and St Pancras																				1980																										
2017	General Election	Camberwell and Peckham															44665																															
2017	General Election	Batley and Spen																																										29844				
2017	General Election	Derby South														26430																																
2016	Parliamentary By-Election	Batley and Spen																																										17506				
2016	London Assembly	North East		134307																																												
2016	London Mayor																					150673							120005																			
2015	General Election	Cynon Valley										14532																																				
2015	General Election	Hackney North and Stoke Newington																					31357																									
2015	General Election	Camberwell and Peckham															32614																															
2015	General Election	Derby South														20007																																
2014	Watford Mayor																																												11741			
2012	London Assembly	North East		101902																																												
2012	London Assembly 	Lambeth and Southwark																									83239																					
2012	London Mayor																																								98913							
2010	General Election	Dulwich and West Norwood																																				22461										
2010	General Election	Thirsk and Malton								20167																																						
2010	General Election	Cynon Valley										15681																																				
2010	General Election	Hackney North and Stoke Newington																					25553																									
2010	General Election	Vauxhall																											10847																			
2010	General Election	Camberwell and Peckham																																							1361							
2010	General Election	Camberwell and Peckham															27619																															
2010	General Election	Derby South														17851																																
2010	General Election	Richmond Park																	25370																													
2010	Watford Mayor																																												19153			
2008	London Assembly	North East		73551																																												
2008	London Assembly	Lambeth and Southwark																									60601		36953																			
2008	London Assembly 	Enfield and Haringey																																									52665					
2008	London Mayor																					77347																										
2006	Watford Mayor																																												11963			
2005	General Election	Dulwich and West Norwood																																				19059										
2005	General Election	Vale of York								26025																																						
2005	General Election	Cynon Valley										17074																																				
2005	General Election	Hackney North and Stoke Newington																					14268																									
2005	General Election	Hampstead and Highgate																				2013																										
2005	General Election	Dulwich and West Norwood																																							2741							
2005	General Election	Camberwell and Peckham															18933																															
2005	General Election	Derby South														19683																																
2005	General Election	Crewe and Nantwich													21240																																	
